"nid","title","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao"
2682,"ARTE IMPRESSA EDITORA LTDA.","Impressão gráfica","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,"ABAFIRE COMÉRCIO E SERVIÇOS LTDA","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,"A. R. SANTOS & CIA. LTDA","Ferragens e ferramentas","Material hidráulico","Material para construção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,"COMERCAL COMAG LTDA","Informática (acessórios e equipamentos)","Limpeza e higiene","Material elétrico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3856,"AMBI & VERDE SERVICOS E COMERCIO PAISAGISTICO LTDA - ME","Plantas, mudas e insumos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,"FFg Comércios de Suprimentos Ltda EPP","Material de escritório e desenho (papelaria)","Informática (acessórios e equipamentos)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,"Nectel Soluções Inteligentes em Segurança Ltda-me","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,"ABEX COML IMPORT E EXPORT LTDA - EPP","Material elétrico","Material para construção","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,"Tintas Lusacor Ltda","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,"Twist Comércio e Serviços Ltda Me","Madeiras","Mobiliário","Serviço de áudio e vídeo","Serviço de serralheria","Tapeçaria e decoração","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,"Josmir Comércio de Importação e Exportação Ltda","Ferragens e ferramentas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,"OUROPEL COMERCIAL LTDA","Copa e cozinha","Informática (suprimentos)","Limpeza e higiene","Material de escritório e desenho (papelaria)","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material e equipamento de laboratório","Médico-hospitalar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,"SANDRA MARIA NUNES CANHOELLA-EPP","Limpeza e higiene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,"ENGEVEX EQUIPAMENTOS E SERVIÇOS LTDA","Material elétrico","Material hidráulico","Obras e serviços na construção civil","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,"RCM COM. DE EQUIPAMENTOS ELETRO ELETRONICOS LTDA - EPP","Copa e cozinha","Eletrodomésticos","Material de escritório e desenho (papelaria)","Ferragens e ferramentas","Informática (acessórios e equipamentos)","Informática (suprimentos)","Livros","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,"AYCA COMERCIO DE MATERIAIS PARA ARTES GRAFICAS LTDA","Impressão gráfica","Material e equipamento gráfico","Serviço gráfico (manutenção de máquinas e equipamentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,"Milleniuns Comércio de Produtos de Limpeza Ltda-ME","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,"ARPEL ARTE EM PAPEL LTDA-EPP","Impressão gráfica","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,"ELETROPAG COMERCIAL ELETRICA LTDA","Ferragens e ferramentas","Material elétrico","Material hidráulico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,"COSTA  &  RAMOS  COM. IMP. EXP. DE LIVROS LTDA","Jornais e revistas","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
